Group,Item,Gram,Type,Sentence
A,87,Ungram,Agr,Those are the children with bad tempers that sometimes chases the babysitter because of their rambunctiousness.
A,88,Ungram,Agr,Those are the photographers of not much skill that is sometimes praised by the writer in spite of their poor shots.
A,89,Ungram,Agr,Those are the psychiatrists with good reputations that usually confronts the client in spite of their friendliness.
A,90,Ungram,Agr,Those are the fisherman with big hats that is often passed by the hiker on account of them taking the same path.
A,91,Ungram,Agr,The cabinets that the mixture is gradually congealing in is used for many experiments.
A,92,Ungram,Agr,The jungles where the explorer is presently investigating dangerous ruins is full of dangerous beasts.
A,93,Ungram,Agr,The concerts that the musician is freely hosting is very well attended.
A,94,Ungram,Agr,The cities where the historian is currently conducting research boast one of the largest libraries in the state.
A,95,Ungram,Island,The book that the woman who wrote was praised was at the top of the best-sellers list.
A,96,Ungram,Island,The billboard that the company that rented went out of business was once again available for rent.
A,97,Ungram,Island,The theory that the professor who discussed was an expert on the topic was difficult to understand.
A,98,Ungram,Island,The gym that the equipment that was bought by broke unexpectedly was trying to get a refund.
A,99,Ungram,Island,Who did the charity wonder whether knew the donor?
A,100,Ungram,Island,What did the climber ask whether lived on the mountain?
A,101,Ungram,Island,Who did the gymnast see the coach who met?
A,102,Ungram,Island,What did the shopper discover the store that had on sale?
A,103,Gram,Plural,The accountants that the financial branches are busily hiring are needed for the upcoming tax season.
A,104,Gram,Plural,The UPS driver that the mailmen are heavily criticizing rarely delivers packages on time.
A,105,Gram,Plural,The lecturer that the chancellors are always praising is beloved by her students.
A,106,Gram,Plural,The pharmacist that the cops are directly accusing was helped out by his friend.
A,107,Gram,Plural,The receptionists that the companies are always overworking bonded with the caterers.
A,108,Gram,Plural,The student teacher that the board members are harshly reprimanding was framed.
A,109,Gram,Plural,The soldiers that the documentary makers are eagerly featuring march in the yearly parade.
A,110,Gram,Plural,The salesperson that the consultants are greatly offending refuses to attend any more joint meetings with them.
A,111,Ungram,Conj,The young student and his mother is diligently learning how to bake professional grade croissants from scratch.
A,112,Ungram,Conj,The king and the general was hurriedly planning a siege on the neighoring kingdom's armory.
A,113,Ungram,Conj,The little puppy and the mean old dachsund was happily getting along.
A,114,Ungram,Conj,The old duke and his young bride was barely talking to each other to the consternation of their parents.
A,115,Ungram,Conj,The boy and his younger brother was quickly suspended for covering the school mascot in toilet paper.
A,116,Ungram,Conj,The new hire and her boyfriend was secretly gobbling up another piece of the delicious pie at the potluck.
A,117,Ungram,Conj,The prospector and his horse was cautiously making their way down the slope to the mine's entrance.
A,118,Ungram,Conj,The owl and the hawk was suspiciously eyeing each other as dusk finally fell in the forest.
A,119,Ungram,Island,What did you know the customer that bought?
A,120,Ungram,Island,What did you ask whether worked reliably?
A,121,Ungram,Island,What did you say the password that unlocks?
A,122,Ungram,Island,What did you wonder whether was scheduled for this weekend?
A,123,Ungram,Island,What did you believe the speaker who announced?
